,input,output
0,I'm so hype for the concert tonight.,I'm really excited for the concert tonight.
1,Thanks a lot for your help.,Your effort is greatly appreciated.
2,Yes. I would do anything to date Silva. No cap.,Yes. I would do anything to date Silva. No lie.
3,Goofy ahh energy-log off.,Your absurd behavior suggests you should take a break from the internet.
4,Sorry the delays caused trouble,I regret any inconvenience caused by the operational delays
5, Make sure we follow all the safety rules.,We must ensure compliance with all safety regulations
6,She ghosted me,She left me hanging
7,I'm totally wiped after a long day grind.,I'm exhausted after a long day at work.
8,Thanks for being thorough,Thank you for your thorough work
9,I'm super hyped for the concert tonight!,I'm really excited for the concert tonight!
10,My room is 99% clothes and I still have nothing to wear.,"My room is filled with clothes, and yet I still claim to have nothing to wear."
11,Hit me up when you can.,Please contact me at your earliest convenience.
12,Keep our standards,We must maintain our standards
13,"I'm so drained today, barely slept tbh.",I'm really tired today because I didn't sleep well.
14,I'm死ass drained today and just wanna stay in bed all day lol,I'm just really tired today and feel like staying in bed all day.
15,Sorry for the delay,I apologize for the delay
16,"Yo, I'm just finna hit up some coffee before I slide to school.","Hey, I'm just going to grab some coffee before heading to school."
17,Can you give feedback on the changes,I would like to request feedback on the recent changes
18, Your leadership has really driven our success!,Your leadership has been instrumental in our progress
19,Not me catching feelings when I was supposed to be emotionally unavailable.,I developed feelings despite intending not to.
20,That party was lit!,The party was excellent and full of energy.
21,I have to run to something else now.,I must attend to another engagement immediately.
22,I'm hella stoked for the concert tonight!,I'm so excited for the concert tonight!
23,"Their friendship is unbreakable, they're like soulmates.",Their friendship is unbreakable; they are like soulmates.
24,Thanks a ton for your help!,My sincerest gratitude for your assistance.
25,"This party is lit, and the energy is so high! It's the place to be.","This party is so much fun, and the energy is amazing! It's the place to be right now."
26, Your quick actions stopped some setbacks from happening!,Your proactive measures have prevented potential setbacks
27,"Okay, fine, fine, I am officially a Nanami simp.","Okay, fine, fine, I am officially a Nanami fan."
28,Can you help with the financial audit?,Could you assist with the financial auditing process?
29,"""""""We'll finish on time, no worries.""""""",We will meet the deadline as stipulated.
30,Your hot take is giving brainrot. Log off.,Your controversial opinion reflects poor judgment; exit the internet.
31,You’ve got this,I am confident in your abilities
32,She was great at sorting stuff out.,She exhibited outstanding problem-solving skills.
33,I'm just tryna wrap up my homework before I dip with my squad.,I'm just trying to finish my homework before I go out with my friends.
34,He's living rent-free in my head and not paying utilities.,"I can't stop thinking about him, even though I don't want to."
35,"I'm finna snag some coffee after shift, fr.",I'm going to grab some coffee after work.
36,I soft-launched my relationship with a blurry hand pic and the girlies knew IMMEDIATELY.,"I subtly introduced my romantic partner via a vague image, which was nonetheless quickly recognized by others."
37, Can you help analyze the sales forecast?,Could you assist with the sales forecast analysis
38,His rizz? Nonexistent. His audacity? Through the roof.,"He lacks charm, but his confidence is sky-high."
39,Just peeped my homework done and about to click up with the crew.,I just finished my homework and I'm about to hang out with my friends.
40,I'm just chillin' at home and vibing with some Netflix tonight.,I'm just going to relax at home and watch some Netflix tonight.
41,Let's bounce before things get sus.,Let's leave before the situation becomes suspicious.
42,Caught in 4K.,Caught red-handed or obviously exposed.
43,"""""""You're really killing it, you know.""""""",Your hard work truly stands out.
44,The way I be overthinking a simple text for hours.,I overanalyze a simple text message for hours on end.
45,"I'm super drained today, barely slept last night lol.","I'm really tired today, I didn't get much sleep last night."
46,I just binge-watched an entire season on Netflix. It was such a time warp.,I just binge-watched an entire season on Netflix. It was such a time-consuming experience.
47,Watch your language,Please refrain from using inappropriate language
48,Not me getting attached after one deep convo,I unexpectedly formed an emotional attachment after a single meaningful conversation.
49,You're giving desperate for clout.,You're clearly seeking fame through controversy.
50,I'm living for those street style looks. So edgy and cool.,I really like those edgy and cool street style looks.
51,I'm super hyped to chill with my squad tonight!,I'm really excited to hang out with my friends tonight.
52,Low-key obsessed with their glow-up this year.,I'm quietly impressed by their remarkable personal transformation this year.
53,"""""""Stay in touch, okay?""""""",Please keep our lines of communication open.
54,Be careful out there.,Please take all necessary precautions.
55,Stop being salty.,Please stop being upset or bitter.
56,Not me scrolling instead of sleeping again.,"I continue scrolling instead of sleeping, as though it will make a difference."
57,"""""""Let us know what's up, alright?""""""",Would you please keep us updated on the situation?
58,"Yo, wanna hit up some coffee later?","Hey, do you want to go get some coffee later?"
59,Your hot take is giving boomer. Log off.,Your opinion is outdated. Disconnect from the internet.
60,This rain got me in my feels for no reason,The rain has inexplicably stirred up deep emotions within me.
61,Check out the attached proposal and let me know what you think.,Please review the attached proposal and provide your feedback.
62,Not me spilling all the tea and still being chill about it.,I revealed all the gossip and stayed calm.
63,"Let's order some pizza, I'm starving.",Let's order some pizza; I'm really hungry.
64,Gonna catch some coffee with my peep later.,I'm going to grab some coffee with my friend this afternoon.
65,"You're not the drama, you're the whole show.",You're creating or attracting a lot of attention or chaos.
66,I'm totally drained after this long-ass day.,I'm really tired after the long day.
67,We want you to jump right in!,We encourage you to participate actively.
68,They're a nostalgia merchant. Zero originality.,They rely on past trends for relevance.
69,The way I be ignoring my alarms like they're not there,I treat my alarm clock as though it doesn't exist.
70,Can you help analyze how efficient our operations are?,Could you assist with the operational efficiency analysis?
71,I'm just gonna vibe at home and binge some YouTube vids.,I'm just going to chill at home and watch some YouTube videos.
72,"That concert was lit, best night ever, I had a blast.","That concert was fantastic; it was the best night ever, and I had a great time."
73,This weather is giving seasonal depression vibes,This weather is affecting my mood significantly.
74,"We're going to the beach, it's gonna be sick.","We are planning to go to the beach, and it's going to be great."
75,Are you free,Please confirm your availability
76,Help with the financial report,Could you assist with the financial report
77,Your vibe is giving expired kombucha.,Your energy is stale and unpleasant.
78,Good submissions on time,We are pleased with your timely submissions
79,I'm about to chill with the squad at the park later.,I'm going to hang out with my friends at the park this afternoon.
80,I'm betting things will turn out great.,We anticipate a favorable outcome.
81,"If ignoring problems was a skill, I'd be world champion","If avoiding problems were an official discipline, I would be world champion."
82, Let me know your thoughts by EOD.,Please submit your feedback by the end of the day
83,I'm officially at the 'let's see what happens' stage of life,I've reached a phase in life where my mindset is simply to observe and accept whatever may occur.
84,Document all communications,Please ensure all communications are documented
85,Just hit up the thrift store and scored some dope vintage finds.,I just went to the thrift store and found some great vintage items.
86,I can't even with all this drama.,I can't deal with all this drama right now.
87,He was being salty about the nose-bleed seats.,He was upset abput the nose-bleed seats.
88,Want me to book it for you?,Would you like me to confirm the reservation on your behalf?
89,Align all tasks,Please ensure all tasks are aligned
90,"Yo, wanna hit up some munchies later?","Hey, do you want to grab some food later?"
91,Thanks for letting me work with you.,Thank you for the opportunity to collaborate.
92,I need to spill the tea about what happened last night.,I need to share the latest gossip about what happened last night.
93,I need a pick-me-up. Time to grab a cup of coffee!,I need a little boost. Time to grab a cup of coffee!
94,Keep this secret,Please maintain confidentiality
95,"I'm just vibing at home, binge-watching some vids.",I'm just chilling at home and watching some videos.
96,Lowkey wanna jump off a building.,Secretly wanna jump off a building.
97,""" We see how dedicated you are, and we appreciate it!""",Your dedication has not gone unnoticed
98,We had a situationship.,"We were kind of a thing, but not officially dating."
99, Make sure we follow all the regulatory standards.,We must ensure compliance with all regulatory standards
100,"He's a total gamer, always playing the latest releases.",He's an avid gamer; he always plays the latest releases.
101,My parents don't understand why I can't stop saying 'bruh' all the time.,My parents don't understand why I keep saying 'bruh' all the time.
102,Good news for you,We are pleased to inform you
103,"I'm totally drained after grindin' all day, fr fr.",I'm so tired after working all day.
104,"Yo, wanna slide to the park today?","Hey, do you want to hang out at the park today?"
105,That's a bop.,That is a very good song.
106,Stick to the scope,Please adhere to the project scope
107,"This playlist is straight gas, IYKYK","This playlist is phenomenal, for those who understand."
108, Your skills have been a huge help!,Your expertise has been invaluable
109,"Hey, I'm so exhausted today 'cause I didn't catch enough Z's last night.","Hey, I'm really tired today because I didn't sleep well last night."
110,Can you help me out?,Could you provide me with some assistance?
111,Join the seminar,I would like to request your presence at the seminar
112,Sorry if I messed up.,I must apologize for any oversight on my part.
113,This is the run.,This attempt is gonna be the successful one.
114, Check out the client's feedback and reply as needed.,Please review the client's feedback and respond accordingly
115,Can't wait for the weekend. Gonna unwind and relax with my crew.,I can't wait for the weekend. I'm going to relax with my friends.
116,His comeback was epic! He clapped back at the haters with pure sass.,His comeback was fantastic! He responded to the haters with sass.
117,I just bought something I didn't need because it was on sale.,I made a purchase that was unnecessary simply because it was on sale.
118, We're starting a fresh tool for internal communication!,We are launching a new internal communication tool
119,You're seriously on top of your game.,I am most impressed by your professionalism.
120,We keep high standards,We are committed to maintaining high standards
121,I'm just vibing at home after a super hectic day.,I'm just relaxing at home after a busy day.
